id,year,title,studios/0,producers/0,winner,producers/1,producers/2,studios/1,producers/3,producers/4
65,1991,Return to the Blue Lagoon,Columbia Pictures,William A. Graham,false,,,,,
66,1992,Shining Through,20th Century Fox,Carol Baum,true,Howard Rosenman,Johnny Rezende,,,
67,1992,The Bodyguard,Warner Bros.,Jim Wilson,false,Kevin Costner,Lawrence Kasdan,,,
68,1992,Christopher Columbus: The Discovery,Warner Bros.,Alexander Salkind,false,Ilya Salkind,,,,
69,1992,Final Analysis,20th Century Fox,Charles Roven,false,Paul Junger Witt,Tony Thomas,,,
70,1992,Newsies,Walt Disney Pictures,Michael Finnell,false,,,,,
71,1993,Indecent Proposal,Paramount Pictures,Sherry Lansing,true,,,,,
72,1993,Body of Evidence,MGM,Dino De Laurentiis,false,,,United Artists,,
73,1993,Cliffhanger,Carolco Pictures,Alan Marshall,false,Renny Harlin,,TriStar Pictures,,
74,1993,Last Action Hero,Columbia Pictures,John McTiernan,false,Stephen J. Roth,,,,
75,1993,Sliver,Paramount Pictures,Robert Evans,false,,,,,
76,1994,Color of Night,Hollywood Pictures,Buzz Feitshans,true,David Matalon,,,,
77,1994,North,Castle Rock Entertainment,Alan Zweibel,false,Rob Reiner,,Columbia Pictures,,
78,1994,On Deadly Ground,Warner Bros.,A. Kitman Ho,false,Julius R. Nasso,Steven Seagal,,,
79,1994,The Specialist,Warner Bros.,Jerry Weintraub,false,,,,,
80,1994,Wyatt Earp,Warner Bros.,Jim Wilson,true,Kevin Costner,Lawrence Kasdan,,,
81,1995,Showgirls,MGM,Alan Marshall,true,Charles Evans,,United Artists,Johnny Rezende,
82,1995,Congo,Paramount Pictures,Kathleen Kennedy,false,Sam Mercer,,,,
83,1995,It's Pat,Touchstone Pictures,Charles B. Wessler,false,,,,,
84,1995,The Scarlet Letter,Hollywood Pictures,Andrew G. Vajna,false,Roland Joffé,,,,
85,1995,Waterworld,Universal Studios,Charles Gordon,true,John Davis,Kevin Costner,,Lawrence Gordon,
86,1996,Striptease,Castle Rock Entertainment,Andrew Bergman,true,Mike Lobell,Johnny Rezende,Columbia Pictures,,
87,1996,Barb Wire,Gramercy Pictures,Brad Wyman,false,Mike Richardson,Todd Moyer,PolyGram Filmed Entertainment,,
88,1996,Ed,Universal Studios,Rosalie Swedlin,false,,,,,
89,1996,The Island of Dr. Moreau,New Line Cinema,Edward R. Pressman,false,,,,,
